,collocate,raw_frequency,MI
1730,lapels,7,7.470489498870164
1731,Indian,402,3.419947559306456
1732,"conjuror,""",2,8.723252467365532
1733,lightly;,13,6.85145029046394
1734,"""a",413,3.392952054964444
1735,"fraud,",20,6.420667374371486
1736,"course.""",99,4.821279797790887
1737,talking,1950,3.227109357487575
1738,"about?""",109,4.725051765696333
1739,loud,688,2.882610809992133
1740,laugh.,433,3.345661919922987
1741,Flambeau,115,4.671467519562227
1742,"Quinton,""",2,8.723252467365532
1743,heartily.,59,6.032009384579703
1744,"dreadful.""",10,7.113814554931431
1745,beside,1893,1.8704814967161538
1746,energetic,102,4.7914268346412054
1747,window;,106,4.752960553813409
1748,instant,754,2.7910072799175207
1749,house,5547,2.181681488990133
1750,front;,26,6.158303109903994
1751,clutched,121,4.620609102328736
1752,collar,148,4.419187374161361
1753,"see.""",183,4.206913495084056
1754,priest,421,4.06691399480304
1755,flew,455,3.2961022289745263
1756,purpose.,248,3.9029709017604945
1757,snatched,228,3.987054018971036
1758,scrap,111,4.706869446613142
1759,"paper,""",14,6.777342318310218
1760,emphatically.,35,5.861051586436063
1761,fad,4,8.030105286805586
1762,three,5932,1.4214301252275994
1763,joined,618,2.989911190467786
1764,involuntarily,123,4.604215292553059
1765,"notice,",141,4.467639757547309
1766,merely,1242,2.9850685659919978
1767,apart.,88,4.93906283344727
1768,"trade,""",4,8.030105286805586
1769,steadily,322,3.6418481023810685
1770,briskly,122,5.305525783752166
1771,"Brown,",129,4.556587243563804
1772,gate.,192,4.852051456457641
1773,"""Mr.",835,3.787580211742731
1774,"Bohun,""",3,8.317787359257368
1775,"voice,",1564,2.0613977268202204
1776,"""metaphors",1,9.416399647925477
1777,"wash,""",2,8.723252467365532
1778,aside,699,2.8667489056916664
1779,priest.,57,5.373348380090927
1780,"""That's",902,3.3049323084227984
1781,small,3961,2.23076013897167
1782,"hammer?""",3,8.317787359257368
1783,swung,359,3.533077259437198
1784,"""By",380,3.4762283952050455
1785,really,4586,1.6787833650675723
1786,interested,647,2.944053353424576
1787,attentive.,25,6.197523823057276
1788,hissing,68,5.19689194274937
1789,"again,",3910,2.9368664641741202
1790,rather,7272,1.6232253007362718
1791,sulkily:,2,8.723252467365532
1792,strength,1180,3.036277111025712
1793,ten,2152,2.435393907203747
1794,"men?""",23,6.280905431996327
1795,deep,2441,2.7148488662006267
1796,breath,863,2.655984956842049
1797,ought,3161,3.149515404937914
1798,"to,""",65,5.242012378029839
1799,peevishly,12,6.931492998137476
1800,Wilfred.,5,7.8069617354913765
1801,"""Those",99,4.821279797790887
1802,popish,8,7.336958106245641
1803,clerics,2,8.723252467365532
1804,fallen,1068,2.4428566284053366
